DATE,GDP  USD (billion)
01-04-2010,14926.098
01-07-2010,15079.917
01-10-2010,15240.843
01-01-2011,15285.828
01-04-2011,15496.189
01-07-2011,15591.85
01-10-2011,15796.46
01-01-2012,16019.758
01-04-2012,16152.257
01-07-2012,16257.151
01-10-2012,16358.863
01-01-2013,16569.591
01-04-2013,16637.926
01-07-2013,16848.748
01-10-2013,17083.137
01-01-2014,17102.932
01-04-2014,17425.766
01-07-2014,17719.836
01-10-2014,17838.454
01-01-2015,17970.422
01-04-2015,18221.299
01-07-2015,18331.093
01-10-2015,18354.372
01-01-2016,18409.13
01-04-2016,18640.732
01-07-2016,18799.648
01-10-2016,18979.245
01-01-2017,19162.55
01-04-2017,19359.123
01-07-2017,19588.074
01-10-2017,19831.829
01-01-2018,20041.047
01-04-2018,20411.924
01-07-2018,20658.204
01-10-2018,20891.367
