DATA_MONTH,EU_CPI,DOLLAR_PER_BARREL,DEXUSEU,US_CPI,US_INT_RATE,US_IMPORT,US_EXPORT
2002M01,76.4,19.4168181818182,0.883161904761905,177.7,1.6752380952381,16444.7,11619.6
2001M12,76.3,18.7052631578947,0.89117,177.4,1.7165,17043.7,12821
2001M11,76,18.7972727272727,0.88826,177.5,1.9905,18664.4,12399.8
2001M10,76,20.5378260869565,0.905,177.6,2.26727272727273,20810.4,13317.2
2001M09,75.9,25.6195,0.911444444444444,178.1,2.67588235294118,15676.7,12250.4
2001M08,75.6,25.68,0.901365217391304,177.4,3.53347826086957,18010.5,12844.9
2001M07,75.6,24.6136363636364,0.861485714285714,177.4,3.67,20129,11531.9
2001M06,75.8,27.8490476190476,0.852957142857143,177.7,,18334.9,13996.9
2001M05,75.7,28.3136363636364,0.875313636363637,177.3,,19596.3,14427.2
2001M04,75.2,25.6571428571429,0.892519047619048,176.4,,19677.4,13949
2001M03,74.7,24.4972727272727,0.908286363636364,176.1,,20720.2,15690
2001M02,74.3,27.5035,0.920521052631579,176,,18491.1,14794
2001M01,74.1,25.6245454545455,0.937580952380953,175.6,,19413.6,13908.7
2000M12,74.3,25.66,0.89831,174.6,,19020.4,15584.5
2000M11,74,32.5522727272727,0.855152380952381,174.2,,20532.8,14604.6
2000M10,73.8,30.9609090909091,0.852538095238095,173.9,,20953.3,14559.1
2000M09,73.7,33.1447619047619,0.869475,173.6,,18550.5,14482
2000M08,73.2,30.1960869565217,0.904504347826087,172.7,,18894.4,13858.3
2000M07,73.2,28.6823809523809,0.938615,172.7,,18982.7,12235.6
2000M06,73,29.7954545454545,0.950477272727273,172.2,,18583.1,14220.4
2000M05,72.8,27.737619047619,0.905945454545455,171.2,,19341.8,14224.1
2000M04,72.6,22.7644444444444,0.94492,170.9,,18285.4,13860.9
2000M03,72.4,27.4860869565217,0.964339130434783,171,,20757.7,14729.9
2000M02,72.1,27.7757142857143,0.98336,170,,17227.4,13586.1
2000M01,71.8,25.511,1.01311,169.3,,15771.3,12235.6
1999M12,71.8,25.4731578947368,1.01102608695652,168.8,,17884.8,13642.6
