Date,Country,Rate
10/14/1999,Euro,0.926
10/15/1999,Euro,0.9185
10/18/1999,Euro,0.9206
10/19/1999,Euro,0.9231
10/20/1999,Euro,0.9289
10/21/1999,Euro,0.9252
10/22/1999,Euro,0.9365
10/25/1999,Euro,0.9376
10/26/1999,Euro,0.9454
10/27/1999,Euro,0.9495
10/28/1999,Euro,0.9507
10/29/1999,Euro,0.9508
11/1/1999,Euro,0.9529
11/2/1999,Euro,0.9518
11/3/1999,Euro,0.9537
11/4/1999,Euro,0.9579
11/5/1999,Euro,0.9615
11/8/1999,Euro,0.965
11/9/1999,Euro,0.9614
11/10/1999,Euro,0.9582
11/11/1999,Euro,
11/12/1999,Euro,0.9695
11/15/1999,Euro,0.9695
11/16/1999,Euro,0.9697
11/17/1999,Euro,0.9613
11/18/1999,Euro,0.9712
11/19/1999,Euro,0.9696
11/22/1999,Euro,0.9683
11/23/1999,Euro,0.9746
11/24/1999,Euro,0.9827
11/25/1999,Euro,
11/26/1999,Euro,0.9865
11/29/1999,Euro,0.9901
11/30/1999,Euro,0.9924
12/1/1999,Euro,0.9941
12/2/1999,Euro,0.9977
12/3/1999,Euro,0.9984
12/6/1999,Euro,0.9754
12/7/1999,Euro,0.9783
12/8/1999,Euro,0.9744
12/9/1999,Euro,0.9842
12/10/1999,Euro,0.9844
12/13/1999,Euro,0.9881
12/14/1999,Euro,0.9933
12/15/1999,Euro,0.9934
12/16/1999,Euro,0.9834
12/17/1999,Euro,0.9913
12/20/1999,Euro,0.9934
12/21/1999,Euro,0.9908
12/22/1999,Euro,0.9921
12/23/1999,Euro,0.9841
12/24/1999,Euro,0.9874
12/27/1999,Euro,0.9866
12/28/1999,Euro,0.9932
12/29/1999,Euro,0.9955
12/30/1999,Euro,0.9976
12/31/1999,Euro,0.993
1/3/2000,Euro,0.9847
1/4/2000,Euro,0.97
1/5/2000,Euro,0.9676
1/6/2000,Euro,0.9686
1/7/2000,Euro,0.9714
1/10/2000,Euro,0.9754
1/11/2000,Euro,0.9688
1/12/2000,Euro,0.9727
1/13/2000,Euro,0.9737
1/14/2000,Euro,0.9874
1/17/2000,Euro,
1/18/2000,Euro,0.988
1/19/2000,Euro,0.9886
1/20/2000,Euro,0.9869
1/21/2000,Euro,0.9901
1/24/2000,Euro,0.9981
1/25/2000,Euro,0.9959
1/26/2000,Euro,0.9989
1/27/2000,Euro,1.0111
1/28/2000,Euro,1.0241
1/31/2000,Euro,1.0249
2/1/2000,Euro,1.0276
2/2/2000,Euro,1.0238
2/3/2000,Euro,1.0114
2/4/2000,Euro,1.0246
2/7/2000,Euro,1.0222
2/8/2000,Euro,1.014
2/9/2000,Euro,1.0087
2/10/2000,Euro,1.0137
2/11/2000,Euro,1.0155
2/14/2000,Euro,1.0222
2/15/2000,Euro,1.0169
2/16/2000,Euro,1.0161
2/17/2000,Euro,1.0139
2/18/2000,Euro,1.0152
2/21/2000,Euro,
2/22/2000,Euro,0.994
2/23/2000,Euro,0.9983
2/24/2000,Euro,1.0069
2/25/2000,Euro,1.0243
2/28/2000,Euro,1.0342
2/29/2000,Euro,1.037
3/1/2000,Euro,1.0309
3/2/2000,Euro,1.0396
3/3/2000,Euro,1.0397
3/6/2000,Euro,1.0413
3/7/2000,Euro,1.046
3/8/2000,Euro,1.0443
3/9/2000,Euro,1.0326
3/10/2000,Euro,1.0353
3/13/2000,Euro,1.0365
3/14/2000,Euro,1.0369
3/15/2000,Euro,1.0314
3/16/2000,Euro,1.0299
3/17/2000,Euro,1.0316
3/20/2000,Euro,1.0299
3/21/2000,Euro,1.0306
3/22/2000,Euro,1.0408
3/23/2000,Euro,1.0319
3/24/2000,Euro,1.0284
3/27/2000,Euro,1.0368
3/28/2000,Euro,1.0401
3/29/2000,Euro,1.05
3/30/2000,Euro,1.0423
3/31/2000,Euro,1.0445
4/3/2000,Euro,1.046
4/4/2000,Euro,1.043
4/5/2000,Euro,1.0366
4/6/2000,Euro,1.0438
4/7/2000,Euro,1.0428
4/10/2000,Euro,1.043
4/11/2000,Euro,1.0426
4/12/2000,Euro,1.047
4/13/2000,Euro,1.05
4/14/2000,Euro,1.0456
4/17/2000,Euro,1.0471
4/18/2000,Euro,1.0552
4/19/2000,Euro,1.0673
4/20/2000,Euro,1.0666
4/21/2000,Euro,1.0662
4/24/2000,Euro,1.0643
4/25/2000,Euro,1.0793
4/26/2000,Euro,1.085
4/27/2000,Euro,1.101
4/28/2000,Euro,1.1002
5/1/2000,Euro,1.0965
5/2/2000,Euro,1.1028
5/3/2000,Euro,1.1247
5/4/2000,Euro,1.1227
5/5/2000,Euro,1.1169
5/8/2000,Euro,1.1173
5/9/2000,Euro,1.1083
5/10/2000,Euro,1.0993
5/11/2000,Euro,1.1085
5/12/2000,Euro,1.1013
5/15/2000,Euro,1.0943
5/16/2000,Euro,1.1046
5/17/2000,Euro,1.121
5/18/2000,Euro,1.1171
5/19/2000,Euro,1.1178
5/22/2000,Euro,1.1067
5/23/2000,Euro,1.1072
5/24/2000,Euro,1.0994
5/25/2000,Euro,1.1023
5/26/2000,Euro,1.0741
5/29/2000,Euro,
5/30/2000,Euro,1.0737
5/31/2000,Euro,1.072
6/1/2000,Euro,1.0745
6/2/2000,Euro,1.0602
6/5/2000,Euro,1.0559
6/6/2000,Euro,1.0449
6/7/2000,Euro,1.0417
6/8/2000,Euro,1.0473
6/9/2000,Euro,1.0498
6/12/2000,Euro,1.0478
6/13/2000,Euro,1.0396
6/14/2000,Euro,1.0428
6/15/2000,Euro,1.0493
6/16/2000,Euro,1.0365
6/19/2000,Euro,1.0393
6/20/2000,Euro,1.0464
6/21/2000,Euro,1.0576
